row_index,date,time,temp,weather,wind,humidity,barometer,visibility
2024-01-03 13:51,2024-01-03,13:51,6 °C,Overcast.,7 km/h,49%,1016 mbar,16 km
2024-01-03 14:51,2024-01-03,14:51,6 °C,Overcast.,13 km/h,51%,1015 mbar,16 km
2024-01-03 15:51,2024-01-03,15:51,5 °C,Overcast.,N/A,53%,1015 mbar,16 km
2024-01-03 16:51,2024-01-03,16:51,4 °C,Overcast.,9 km/h,55%,1016 mbar,16 km
2024-01-03 17:51,2024-01-03,17:51,4 °C,Overcast.,6 km/h,55%,1016 mbar,16 km
2024-01-03 19:51,2024-01-03,19:51,4 °C,Overcast.,6 km/h,55%,1016 mbar,16 km
2024-01-03 20:51,2024-01-03,20:51,4 °C,Overcast.,6 km/h,55%,1016 mbar,16 km
2024-01-03 21:51,2024-01-03,21:51,4 °C,Overcast.,6 km/h,53%,1015 mbar,16 km
2024-01-03 22:51,2024-01-03,22:51,4 °C,Overcast.,13 km/h,55%,1016 mbar,16 km
2024-01-03 23:51,2024-01-03,23:51,4 °C,Overcast.,No wind,57%,1015 mbar,16 km
2024-01-04 00:51,2024-01-04,00:51,4 °C,Overcast.,No wind,57%,1015 mbar,16 km
2024-01-04 01:51,2024-01-04,01:51,4 °C,Overcast.,6 km/h,57%,1015 mbar,16 km
2024-01-04 02:51,2024-01-04,02:51,4 °C,Overcast.,No wind,57%,1014 mbar,16 km
2024-01-04 03:51,2024-01-04,03:51,4 °C,Overcast.,6 km/h,58%,1014 mbar,16 km
2024-01-04 04:51,2024-01-04,04:51,4 °C,Overcast.,11 km/h,58%,1013 mbar,16 km
2024-01-04 05:51,2024-01-04,05:51,4 °C,Overcast.,6 km/h,58%,1013 mbar,16 km
2024-01-04 06:51,2024-01-04,06:51,4 °C,Mostly cloudy.,7 km/h,62%,1013 mbar,16 km
2024-01-04 07:51,2024-01-04,07:51,4 °C,Mostly cloudy.,13 km/h,65%,1014 mbar,16 km
2024-01-04 08:51,2024-01-04,08:51,4 °C,More clouds than sun.,7 km/h,60%,1014 mbar,16 km
2024-01-04 09:51,2024-01-04,09:51,4 °C,Overcast.,13 km/h,60%,1014 mbar,16 km
2024-01-04 10:51,2024-01-04,10:51,5 °C,Overcast.,9 km/h,60%,1014 mbar,16 km
2024-01-04 11:51,2024-01-04,11:51,6 °C,Overcast.,13 km/h,53%,1014 mbar,16 km
2024-01-04 12:51,2024-01-04,12:51,7 °C,Cloudy.,13 km/h,47%,1014 mbar,16 km
2024-01-04 13:51,2024-01-04,13:51,7 °C,Scattered clouds.,11 km/h,41%,1014 mbar,16 km
2024-01-04 14:51,2024-01-04,14:51,6 °C,Scattered clouds.,N/A,38%,1014 mbar,16 km
2024-01-04 15:51,2024-01-04,15:51,5 °C,Sunny.,20 km/h,41%,1015 mbar,16 km
2024-01-04 16:51,2024-01-04,16:51,4 °C,Clear.,N/A,39%,1017 mbar,16 km
2024-01-04 17:51,2024-01-04,17:51,3 °C,Clear.,19 km/h,41%,1018 mbar,16 km
2024-01-04 19:51,2024-01-04,19:51,1 °C,Clear.,15 km/h,38%,1020 mbar,16 km
